"rs_frs";"type_transaction";"num_dossier";"code_douane";"code_frs";"num_repertoire";"date_depot";"nbre_total_art";"type_transaction";"val_nette";"emballage";"mise_a_fob";"fret";"autre_frais";"nom_signat_declarant";"date_signat_declarant";"code_pays_provenance";"lib_pays_provenance";"code_pays_achat";"lib_pays_achat";"code_pays_premier_destination";"lib_pays__premier_destination";"code_pays_destination_defi";"lib_pays__destination_defi";"code_devise_ptfn";"code_incoterme";"desig_incoterme";"ptfn";"fob_mont_devise";"code_nat_autoris";"lib_nat_autoris"
"ZED SRL";1;571;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;583;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;584;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;570;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;582;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ALUMINCO ";1;569;"1283193D";"29";1994;"2024-03-04 00:00:00";1;1;15746.61;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-17 00:00:00";"FR";"FRANCE";"GR";"GRECE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";2173.2;16000;"39";"Admission Temporaire : (AT)"
"ENSATEC S.L.U";2;587;"1283193D";"60";1996;"2024-07-17 00:00:00";1;2;200;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-17 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"ES";"ESPAGNE";"ES";"ESPAGNE";"EUR";"DDP";"DDP.RENDU DR.ACQUITTES";200;180;"22";"Facture Definitive a l'Export : (FDE)"
"ZED SRL";1;572;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;580;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;579;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;578;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;577;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;576;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;575;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;573;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"PERVEDANT";1;585;"1283193D";"56";100;"2024-07-17 00:00:00";1;1;4911.9;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-17 00:00:00";"PT";"PORTUGAL";"PT";"PORTUGAL";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";4911.9;5100;"";""
"TRICON DRY CHEMICALS";1;586;"1222506N";"44";1995;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-07-17 00:00:00";"TR";"TURQUIE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;74500;"39";"Admission Temporaire : (AT)"
"ZED SRL";1;581;"00004K";"1";1;"2024-07-17 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-17 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ALUMINCO ";1;568;"1283193D";"29";1993;"2024-03-04 00:00:00";8;1;15746.61;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-16 00:00:00";"FR";"FRANCE";"GR";"GRECE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";25683.27;16000;"39";"Admission Temporaire : (AT)"
"PERVEDANT";1;567;"1283193D";"56";100;"2024-07-16 00:00:00";1;1;4911.9;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-16 00:00:00";"PT";"PORTUGAL";"PT";"PORTUGAL";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";4911.9;5000;"";""
"TRICON DRY CHEMICALS";1;566;"1222506N";"44";2000;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-07-12 00:00:00";"TR";"TURQUIE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;74500;"39";"Admission Temporaire : (AT)"
"HEXAGON INTERNATIONAL";2;564;"1283193D";"9";50975;"2024-04-04 00:00:00";1;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-11 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";62503.2;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;565;"1283193D";"9";50976;"2024-04-04 00:00:00";3;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-11 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";206137.51;150000;"22";"Facture Definitive a l'Export : (FDE)"
"COPANEL";1;562;"1283193D";"59";100;"2024-07-09 00:00:00";1;1;49189.38;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-09 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"DAP";"DELIVRED AT PLACE";49189.38;47500;"";""
"TRICON DRY CHEMICALS";1;563;"1222506N";"44";100;"2024-07-09 00:00:00";1;1;131760;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-09 00:00:00";"TR";"TURQUIE";"TR";"TURQUIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;129000;"";""
"HEXAGON INTERNATIONAL";2;561;"1283193D";"9";100;"2024-07-08 00:00:00";1;2;268640.71;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-08 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CG";"CONGO";"CG";"CONGO";"USD";"CFR";"C F";268640.71;255208;"";""
"REYNAERS";1;560;"1283193D";"54";100;"2024-07-06 00:00:00";1;1;12109.2;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-06 00:00:00";"BE";"BELGIQUE";"BE";"BELGIQUE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FCA";"FCA.FRANCO-TRANSPORT";12109.2;12109.2;"";""
"HEXAGON INTERNATIONAL";2;557;"1283193D";"9";50972;"2024-04-04 00:00:00";3;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-05 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";102317.93;150000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;558;"1283193D";"9";50973;"2024-04-04 00:00:00";3;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-05 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";102317.93;150000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;559;"1283193D";"9";50974;"2024-04-04 00:00:00";1;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-05 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";8374.45;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;556;"1283193D";"9";50971;"2024-04-04 00:00:00";1;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";62503.2;145000;"22";"Facture Definitive a l'Export : (FDE)"
"MAERSK";1;550;"1222506N";"58";1993;"2024-07-03 00:00:00";1;1;15000;0;0;0;0;"BAYRAM KAMOUN";"2024-07-04 00:00:00";"TR";"TURQUIE";"TR";"TURQUIE";"TN";"TUNISIE";"TN";"TUNISIE";"TND";"CFR";"C.F.";15000;14000;"39";"Admission Temporaire : (AT)"
"HEXAGON INTERNATIONAL";2;555;"1283193D";"9";50970;"2024-04-04 00:00:00";2;2;152158.62;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";177138.38;150000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;551;"1283193D";"9";100;"2024-07-04 00:00:00";1;2;177138.38;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CG";"CONGO";"CG";"CONGO";"EUR";"CFR";"C F";177138.38;168281.461;"";""
"HEXAGON INTERNATIONAL";2;554;"1283193D";"9";50928;"2024-04-04 00:00:00";3;2;316494.02;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";316494.02;315000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;553;"1283193D";"9";100;"2024-07-04 00:00:00";1;2;110692.38;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CG";"CONGO";"CG";"CONGO";"EUR";"CFR";"CF";110692.38;105158;"";""
"HEXAGON INTERNATIONAL";2;552;"1283193D";"9";100;"2024-07-04 00:00:00";1;2;234992.41;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CG";"CONGO";"CG";"CONGO";"USD";"CFR";"C F";234992.41;223242.79;"";""
"HEXAGON INTERNATIONAL";2;547;"1283193D";"9";100;"2024-07-03 00:00:00";1;2;110692.38;0;0;0;0;"NAJEH BEN KRAIEM";"2024-07-03 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C F";110692.38;105158;"";""
"MSC";1;548;"1222506N";"43";1961;"2024-01-20 00:00:00";1;1;10000;0;0;0;0;"BAYRAM KAMOUN";"2024-07-03 00:00:00";"CN";"CHINE";"CN";"CHINE";"TN";"TUNISIE";"TN";"TUNISIE";"TND";"CFR";"C.F.";10000;9500;"39";"Admission Temporaire : (AT)"
"MAERSK";1;549;"1222506N";"58";1992;"2024-07-03 00:00:00";1;1;15000;0;0;0;0;"BAYRAM KAMOUN";"2024-07-03 00:00:00";"TR";"TURQUIE";"TR";"TURQUIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";15000;14000;"39";"Admission Temporaire : (AT)"
"TRICON DRY CHEMICALS";1;546;"1222506N";"44";1991;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-07-03 00:00:00";"TR";"TURQUIE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;74500;"39";"Admission Temporaire : (AT)"
"ZED SRL";1;545;"00004K";"1";1;"2024-07-02 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-07-02 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"STAC";1;544;"1283193D";"52";1990;"2024-05-08 00:00:00";1;1;283.89;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-07-01 00:00:00";"ES";"ESPAGNE";"ES";"ESPAGNE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";1655.49;305;"33";"Facture Commerciale : (FC)"
"ZED SRL";1;542;"00004K";"1";1;"2024-06-28 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-28 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;543;"00004K";"1";1;"2024-06-28 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-28 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ALJAWDA AFRICAN JOINT CO ";2;541;"1283193D";"13";50964;"2024-03-11 00:00:00";1;2;12950;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-27 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";3750;13500;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;539;"1283193D";"13";100;"2024-06-27 00:00:00";1;2;30969.72;0;0;0;0;"NAJEH BEN KRAIEM";"2024-06-27 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";30969.72;32500;"";""
"ALJAWDA AFRICAN JOINT CO ";2;540;"1283193D";"13";50965;"2024-02-28 00:00:00";1;2;14500;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-27 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";27219.72;15500;"22";"Facture Definitive a l'Export : (FDE)"
"ZED SRL";1;538;"00004K";"1";1;"2024-06-22 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-22 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;536;"00004K";"1";1;"2024-06-21 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-21 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;534;"00004K";"1";1;"2024-06-21 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-21 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;537;"00004K";"1";1;"2024-06-21 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-21 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;535;"00004K";"1";1;"2024-06-21 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-21 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;533;"00004K";"1";1;"2024-06-20 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-20 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;529;"00004K";"1";1;"2024-06-13 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-13 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;532;"00004K";"1";1;"2024-06-13 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-13 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;530;"00004K";"1";1;"2024-06-13 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-13 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;531;"00004K";"1";1;"2024-06-13 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-13 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"HEXAGON INTERNATIONAL";2;522;"1283193D";"9";50964;"2024-04-04 00:00:00";7;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-07 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";144830.07;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;528;"1283193D";"9";50969;"2024-04-04 00:00:00";6;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-07 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";144830.07;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;527;"1283193D";"9";50968;"2024-04-04 00:00:00";1;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-07 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"USD";"CFR";"C.F.";95228.16;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;526;"1283193D";"9";50967;"2024-04-04 00:00:00";2;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-07 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";67062.16;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;525;"1283193D";"9";50966;"2024-04-04 00:00:00";2;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-07 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";11232.07;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;523;"1283193D";"9";50965;"2024-04-04 00:00:00";1;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-07 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";95228.16;145000;"22";"Facture Definitive a l'Export : (FDE)"
"TRICON DRY CHEMICALS";1;524;"1222506N";"44";100;"2024-06-07 00:00:00";1;1;131760;0;0;0;0;"NAJEH BEN KRAIEM";"2024-06-07 00:00:00";"TR";"TURQUIE";"TR";"TURQUIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";131760;129000;"";""
"HEXAGON INTERNATIONAL";2;520;"1283193D";"9";50962;"2024-04-04 00:00:00";3;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-06 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";132667.14;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;521;"1283193D";"9";50963;"2024-04-04 00:00:00";2;2;146592.86;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-06 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CD";"CONGO";"CD";"CONGO";"EUR";"CFR";"C.F.";11232.07;145000;"22";"Facture Definitive a l'Export : (FDE)"
"HEXAGON INTERNATIONAL";2;519;"1283193D";"9";100;"2024-06-06 00:00:00";1;2;240058.23;0;0;0;0;"NAJEH BEN KRAIEM";"2024-06-06 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"CG";"CONGO";"CG";"CONGO";"USD";"CFR";"C F";240058.23;228055.318;"";""
"ZED SRL";1;515;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;507;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;508;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;509;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;510;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;511;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;512;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;513;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;514;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;516;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;517;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ZED SRL";1;518;"00004K";"1";1;"2024-06-05 00:00:00";1;1;100;0;0;0;0;"DOSSIER BIDON VE";"2024-06-05 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"FOB";"F.O.B";100;100;"";""
"ALJAWDA AFRICAN JOINT CO ";2;505;"1283193D";"13";100;"2024-06-04 00:00:00";1;2;38583.3;0;0;0;0;"NAJEH BEN KRAIEM";"2024-06-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";38583.3;40000;"";""
"ALJAWDA AFRICAN JOINT CO ";2;506;"1283193D";"13";50961;"2024-02-28 00:00:00";1;2;14500;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-06-04 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";38583.3;15500;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;493;"1283193D";"13";100;"2024-05-31 00:00:00";1;2;34951.88;0;0;0;0;"NAJEH BEN KRAIEM";"2024-05-31 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";34951.88;36699.474;"";""
